City_ID,City,Lat,Lng,Currently,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Iquitos,-3.7481,-73.2472,Clouds,82.44,74,75,9.22,PE,2021-07-17 16:31:16
148,Corrales,35.2378,-106.6067,Clear,87.04,43,1,1.01,US,2021-07-17 16:31:16
149,Gat,31.61,34.7642,Clear,90.39,46,0,7.85,IL,2021-07-17 16:31:16
150,New Norfolk,-42.7826,147.0587,Clouds,48.92,81,86,1.01,AU,2021-07-17 16:31:17
151,Provideniya,64.3833,-173.3,Clouds,45.54,97,100,6.4,RU,2021-07-17 16:31:17
152,Nampula,-15.1165,39.2666,Clear,69.75,56,0,6.91,MZ,2021-07-17 16:31:17
153,Chuy,-33.6971,-53.4616,Clouds,54.09,63,73,15.01,UY,2021-07-17 16:31:17
154,Kenai,60.5544,-151.2583,Clear,60.1,93,1,3.44,US,2021-07-17 16:31:18
155,Ojinaga,29.5667,-104.4167,Clear,92.57,40,1,0.0,MX,2021-07-17 16:31:18
156,Flinders,-34.5833,150.8552,Clear,55.18,68,8,8.99,AU,2021-07-17 16:31:18
157,Broken Hill,-31.95,141.4333,Clear,42.51,87,6,9.22,AU,2021-07-17 16:31:18
158,Baculin,7.4525,126.5842,Clouds,79.43,81,93,4.56,PH,2021-07-17 16:31:19
159,Bosaso,11.2842,49.1816,Clouds,91.26,40,32,19.17,SO,2021-07-17 16:31:19
160,Uyutne,45.1994,33.3014,Clear,85.82,49,0,8.01,UA,2021-07-17 16:31:19
161,Panama City,8.9936,-79.5197,Clouds,89.55,69,40,3.44,PA,2021-07-17 16:29:15
162,Katsuura,35.1333,140.3,Clear,79.11,93,5,4.34,JP,2021-07-17 16:31:19
163,Smirnykh,49.75,142.8333,Clouds,68.31,92,22,5.14,RU,2021-07-17 16:31:20
164,Port-Gentil,-0.7193,8.7815,Clouds,78.76,69,20,11.5,GA,2021-07-17 16:31:20
165,Husavik,66.0449,-17.3389,Clouds,60.71,68,20,3.71,IS,2021-07-17 16:31:20
166,Padilla,3.2204,-76.3139,Clouds,81.91,58,59,2.86,CO,2021-07-17 16:31:20
167,Tuktoyaktuk,69.4541,-133.0374,Clouds,64.4,63,75,8.05,CA,2021-07-17 16:31:21
168,Port Shepstone,-30.7414,30.455,Clear,62.58,52,0,8.28,ZA,2021-07-17 16:31:21
169,Mason City,43.1536,-93.201,Clear,79.18,61,1,0.0,US,2021-07-17 16:28:21
170,Antofagasta,-23.65,-70.4,Clouds,64.22,54,80,5.23,CL,2021-07-17 16:31:21
171,Puerto Ayora,-0.7393,-90.3518,Clouds,76.96,94,99,7.0,EC,2021-07-17 16:31:21
172,Mayumba,-3.432,10.6554,Clouds,72.91,85,44,6.91,GA,2021-07-17 16:31:22
173,Santa Isabel,-23.3156,-46.2214,Clouds,76.66,45,69,4.92,BR,2021-07-17 16:31:22
174,Saint George,37.1041,-113.5841,Clear,93.54,37,1,3.0,US,2021-07-17 16:31:22
175,Evensk,61.95,159.2333,Clouds,54.97,81,100,0.34,RU,2021-07-17 16:31:22
176,Naryan-Mar,67.6713,53.087,Clouds,55.42,86,100,8.99,RU,2021-07-17 16:31:23
177,Iralaya,15.0,-83.2333,Clouds,86.09,76,49,12.12,HN,2021-07-17 16:31:23
178,Half Moon Bay,37.4636,-122.4286,Clouds,73.65,79,90,0.0,US,2021-07-17 16:31:23
179,Ust-Kuyga,70.0167,135.6,Clouds,38.88,70,100,7.49,RU,2021-07-17 16:31:23
180,Lac Du Bonnet,50.2536,-96.0612,Clear,89.22,26,0,8.25,CA,2021-07-17 16:31:24
181,Tacotalpa,17.6,-92.8167,Clouds,87.69,68,100,3.71,MX,2021-07-17 16:31:24
182,Kawhia,-38.0651,174.8183,Clouds,60.15,89,55,19.17,NZ,2021-07-17 16:31:24
183,East London,-33.0153,27.9116,Clear,58.14,72,0,4.61,ZA,2021-07-17 16:31:24
184,Saint-Augustin,51.226,-58.6502,Clouds,73.35,41,18,17.78,CA,2021-07-17 16:31:25
185,Tessalit,20.1986,1.0114,Clear,109.27,7,3,16.44,ML,2021-07-17 16:31:25
186,Lugovoy,42.9472,72.7644,Clear,72.68,20,5,6.89,KZ,2021-07-17 16:31:25
187,Neuquen,-38.9516,-68.0591,Clear,49.89,37,0,12.66,AR,2021-07-17 16:31:25
188,San Jose De Sisa,-6.6167,-76.6915,Clouds,81.32,56,70,2.55,PE,2021-07-17 16:31:26
189,Bochnia,49.9691,20.4303,Rain,82.58,71,98,3.49,PL,2021-07-17 16:31:26
190,Cabo San Lucas,22.8909,-109.9124,Clear,95.5,60,1,1.99,MX,2021-07-17 16:31:24
191,Constantine,36.365,6.6147,Clouds,85.41,28,20,12.66,DZ,2021-07-17 16:31:26
192,Lucapa,-8.4192,20.7447,Clouds,75.6,24,97,2.21,AO,2021-07-17 16:31:26
193,Sindor,62.8629,51.8905,Clouds,63.9,79,57,3.24,RU,2021-07-17 16:31:27
194,Russell,32.3502,-85.1999,Clouds,86.92,68,40,0.0,US,2021-07-17 16:31:27
195,Tocopilla,-22.092,-70.1979,Clouds,64.9,69,71,3.53,CL,2021-07-17 16:31:27
196,Port Hardy,50.6996,-127.4199,Clouds,60.98,67,75,5.75,CA,2021-07-17 16:31:27
197,Yarmouth,41.7057,-70.2286,Clear,89.26,85,1,5.99,US,2021-07-17 16:31:28
198,Mahebourg,-20.4081,57.7,Rain,72.25,73,40,13.8,MU,2021-07-17 16:31:28
199,Banfora,10.6333,-4.7667,Clouds,78.21,76,96,6.35,BF,2021-07-17 16:31:28
200,Camacha,33.0833,-16.3333,Clouds,74.16,68,20,14.97,PT,2021-07-17 16:31:28
201,Ganzhou,28.8184,115.4327,Rain,77.05,93,97,2.91,CN,2021-07-17 16:31:29
202,Nome,64.5011,-165.4064,Rain,49.15,93,90,13.8,US,2021-07-17 16:31:29
203,Rundu,-17.9333,19.7667,Clouds,67.05,36,85,5.26,NA,2021-07-17 16:31:29
204,Sagua La Grande,22.8067,-80.0756,Clouds,88.79,54,18,13.51,CU,2021-07-17 16:31:29
205,Sanming,26.2486,117.6186,Clouds,75.24,91,100,2.57,CN,2021-07-17 16:31:30
206,Gorontalo,0.5412,123.0595,Clouds,75.52,90,100,2.33,ID,2021-07-17 16:31:30
207,Claudio,-20.4433,-44.7658,Clear,82.69,23,0,7.09,BR,2021-07-17 16:31:30
208,Yumen,40.2833,97.2,Clear,85.28,18,4,8.23,CN,2021-07-17 16:31:31
209,Oranjestad,12.524,-70.027,Clouds,87.75,66,20,23.02,AW,2021-07-17 16:31:31
210,Kodiak,57.79,-152.4072,Clear,49.51,100,1,4.61,US,2021-07-17 16:31:31
211,Lakes Entrance,-37.8811,147.981,Clouds,52.18,75,69,18.23,AU,2021-07-17 16:31:31
212,Okhotsk,59.3833,143.3,Clouds,55.92,86,98,6.31,RU,2021-07-17 16:31:32
213,Gushikawa,26.3544,127.8686,Clouds,83.43,89,20,4.61,JP,2021-07-17 16:31:32
214,Pontecagnano,40.6425,14.8735,Clouds,78.04,68,40,11.5,IT,2021-07-17 16:31:32
215,Upernavik,72.7868,-56.1549,Clouds,40.46,77,100,13.56,GL,2021-07-17 16:31:32
216,Saint-Louis,16.3333,-15.0,Clouds,100.49,30,80,9.86,SN,2021-07-17 16:31:33
217,Santa Fe,-31.6333,-60.7,Clear,58.01,37,0,8.01,AR,2021-07-17 16:29:36
218,Fukue,32.6881,128.8419,Clouds,78.39,78,99,14.81,JP,2021-07-17 16:31:33
